time_sec,value
0,-1
0.127029,-1
0.254058,-1
0.381087,-1
0.508116,-1
0.635145,-1
0.762174,-1
0.889203,-1
1.016231,-1
1.14326,-1
1.270289,-1
1.397318,-1
1.524347,-1
1.651376,-1
1.778405,-1
1.905434,-1
2.032463,-1
2.159492,-1
2.286521,-1
2.540579,-1
2.667608,-1
2.794637,-1
5.97036,8.571429
6.097389,8.571429
6.224418,8.571429
6.351447,8.571429
6.478476,8.571429
6.605505,8.571429
6.732534,8.571429
6.859562,8.571429
6.986591,8.571429
7.11362,8.571429
7.240649,8.571429
7.367678,8.571429
7.494707,8.571429
7.621736,8.571429
7.748765,8.571429
7.875794,8.571429
8.002823,8.571429
8.129852,8.571429
8.256881,8.571429
8.38391,8.571429
8.510939,8.571429
8.637968,8.571429
8.764996,8.571429
8.892025,8.571429
9.019054,8.571429
9.146083,8.571429
9.273112,8.571429
9.400141,8.571429
9.52717,8.571429
9.654199,8.571429
9.781228,8.571429
9.908257,8.571429
10.035286,8.571429
10.162315,8.571429
10.289344,8.571429
10.416373,8.571429
10.543402,8.571429
10.67043,8.571429
10.797459,8.571429
10.924488,8.571429
11.051517,8.571429
11.178546,8.571429
11.305575,8.571429
11.432604,8.571429
11.559633,8.571429
11.686662,8.571429
11.813691,8.571429
11.94072,8.571429
12.067749,8.571429
12.194778,8.571429
12.321807,8.571429
12.448836,8.571429
12.575865,8.571429
13.211009,-1
13.338038,-1
13.465067,-1
13.592096,-1
13.719125,-1
13.846154,-1
13.973183,-1
14.100212,-1
14.227241,-1
14.35427,-1
14.481299,-1
14.608327,-1
14.735356,-1
14.862385,-1
14.989414,-1
15.116443,-1
16.64079,7.662338
16.767819,7.662338
16.894848,7.662338
17.021877,7.662338
17.148906,7.662338
17.275935,7.662338
17.402964,7.662338
17.529993,7.662338
17.657022,7.662338
17.784051,7.662338
17.91108,7.662338
18.038109,7.662338
18.165138,7.662338
18.292167,7.662338
18.419195,7.662338
18.546224,7.662338
18.673253,7.662338
18.800282,7.662338
18.927311,7.662338
19.05434,7.662338
19.181369,7.662338
19.308398,7.662338
19.435427,7.662338
19.562456,7.662338
19.689485,7.662338
19.816514,7.662338
19.943543,7.662338
20.070572,7.662338
20.197601,7.662338
20.324629,7.662338
20.451658,7.662338
20.578687,7.662338
20.705716,7.662338
20.832745,7.662338
20.959774,7.662338
21.086803,7.662338
21.213832,7.662338
21.340861,7.662338
21.46789,7.532468
21.594919,7.532468
21.721948,7.532468
21.848977,7.532468
21.976006,7.662338
22.103035,7.662338
22.230064,7.662338
22.357092,7.662338
22.484121,7.662338
22.61115,7.662338
22.738179,7.662338
22.865208,7.662338
22.992237,7.662338
23.119266,7.662338
23.246295,7.662338
23.373324,7.662338
23.500353,7.662338
23.627382,7.662338
23.754411,7.662338
23.88144,7.662338
24.008469,7.662338
24.135498,7.662338
24.262526,7.662338
24.389555,7.662338
24.516584,7.662338
24.643613,7.662338
24.770642,7.662338
24.897671,7.662338
25.0247,7.662338
25.151729,7.662338
25.278758,7.662338
25.405787,7.662338
25.532816,7.662338
25.659845,7.662338
25.786874,7.662338
25.913903,7.662338
26.040932,7.662338
26.16796,7.662338
26.294989,7.662338
26.422018,7.662338
26.549047,7.662338
26.676076,7.662338
26.803105,7.012987
26.930134,7.012987
27.057163,6.883117
27.184192,6.883117
27.311221,6.753247
27.43825,6.623377
27.565279,6.558442
27.692308,6.493506
27.819337,6.493506
27.946366,6.493506
28.073394,6.493506
28.200423,6.493506
28.327452,6.493506
28.454481,6.493506
28.58151,6.493506
28.708539,6.493506
28.835568,6.493506
28.962597,6.493506
29.089626,6.493506
29.216655,6.493506
29.343684,6.493506
29.470713,6.493506
29.597742,6.493506
29.724771,6.493506
29.8518,6.493506
29.978829,6.493506
30.105857,6.493506
30.232886,6.623377
30.359915,6.818182
30.486944,6.883117
30.613973,7.077922
30.741002,7.142857
30.868031,7.207792
30.99506,7.272727
31.122089,7.272727
31.249118,7.272727
31.376147,7.272727
31.503176,7.272727
31.630205,7.272727
31.757234,7.272727
31.884263,7.272727
32.011291,7.272727
32.13832,7.272727
32.265349,7.272727
32.392378,7.272727
32.519407,7.272727
32.646436,7.272727
32.773465,7.272727
32.900494,7.272727
33.027523,7.272727
33.154552,7.272727
33.281581,7.272727
33.40861,7.142857
33.535639,7.142857
33.662668,7.207792
33.789697,7.272727
33.916725,7.272727
34.043754,7.272727
34.170783,7.272727
34.297812,7.272727
34.424841,7.272727
34.55187,7.272727
34.678899,7.142857
34.805928,7.142857
34.932957,6.883117
35.059986,6.883117
35.187015,6.818182
35.314044,6.623377
35.441073,6.623377
35.568102,6.623377
35.695131,6.558442
35.822159,6.493506
35.949188,6.493506
36.076217,6.623377
36.203246,6.623377
36.330275,6.623377
36.457304,6.623377
36.584333,6.623377
36.711362,6.623377
36.838391,6.623377
36.96542,6.623377
37.092449,6.623377
37.219478,6.623377
37.346507,6.623377
37.473536,6.558442
37.600565,6.493506
37.727594,6.493506
37.854622,6.493506
37.981651,6.493506
38.10868,6.493506
38.235709,6.493506
38.362738,6.493506
38.489767,6.493506
38.616796,6.493506
38.743825,6.493506
38.870854,6.493506
38.997883,6.493506
39.124912,6.493506
39.251941,6.493506
39.37897,6.493506
39.505999,6.493506
39.633028,6.493506
39.760056,6.493506
39.887085,6.493506
40.014114,6.493506
40.141143,6.493506
40.268172,6.493506
40.395201,6.493506
40.52223,6.493506
40.649259,6.493506
40.776288,6.493506
40.903317,6.623377
41.030346,6.623377
41.157375,6.623377
41.284404,6.623377
41.411433,6.623377
41.538462,6.623377
41.66549,6.623377
41.792519,6.623377
41.919548,6.623377
42.046577,6.623377
42.173606,6.623377
42.300635,6.558442
42.427664,6.493506
42.554693,6.493506
42.681722,6.493506
42.808751,6.493506
42.93578,6.493506
43.062809,6.493506
43.189838,6.493506
43.316867,6.493506
43.443896,6.493506
43.570924,6.493506
43.697953,6.883117
43.824982,6.883117
43.952011,7.272727
44.07904,7.272727
44.206069,7.272727
44.333098,7.272727
44.460127,7.272727
44.587156,7.272727
44.714185,7.272727
44.841214,7.272727
44.968243,7.272727
45.095272,7.272727
45.222301,7.272727
45.34933,7.272727
45.476359,7.272727
45.603387,7.272727
45.730416,7.272727
45.857445,7.337662
45.984474,7.402597
46.111503,7.402597
46.238532,7.402597
46.365561,7.402597
46.49259,7.402597
46.619619,7.402597
46.746648,7.402597
46.873677,7.272727
47.000706,7.272727
47.127735,7.272727
47.254764,7.272727
47.381793,7.272727
47.508821,7.272727
47.63585,7.272727
47.762879,7.272727
47.889908,7.272727
48.016937,7.272727
48.143966,7.272727
48.270995,7.272727
48.398024,7.467532
48.525053,7.532468
48.652082,7.727273
48.779111,7.792208
48.90614,8.116883
49.033169,8.181818
49.160198,8.376623
49.287227,8.441558
49.414255,8.441558
49.541284,8.441558
49.668313,8.441558
49.795342,8.441558
49.922371,8.441558
50.0494,8.441558
50.176429,8.441558
50.303458,8.441558
50.430487,7.662338
50.557516,7.662338
50.684545,7.662338
50.811574,7.662338
50.938603,7.662338
51.065632,7.662338
51.192661,7.662338
51.319689,7.662338
51.446718,7.662338
51.573747,7.662338
51.700776,7.662338
51.827805,7.662338
51.954834,7.662338
52.081863,7.662338
52.208892,7.662338
52.335921,7.662338
52.46295,7.662338
52.589979,7.662338
52.717008,7.662338
52.844037,7.662338
52.971066,7.662338
53.098095,7.662338
53.225124,7.662338
53.352152,7.662338
53.479181,7.662338
53.60621,7.662338
53.733239,7.662338
53.860268,7.662338
53.987297,7.662338
54.114326,7.662338
54.241355,7.662338
54.368384,7.662338
54.495413,7.662338
54.622442,7.662338
54.749471,7.662338
54.8765,7.662338
55.003529,7.662338
55.130558,7.662338
55.257586,7.662338
55.384615,7.662338
55.511644,7.662338
55.638673,7.662338
55.765702,7.662338
55.892731,7.662338
56.01976,7.662338
56.146789,7.662338
56.273818,7.662338
56.400847,7.662338
56.527876,7.662338
56.654905,7.662338
56.781934,7.662338
56.908963,7.662338
57.035992,7.662338
57.16302,7.662338
57.290049,7.662338
57.417078,7.597403
57.544107,7.597403
57.671136,7.597403
57.798165,7.597403
57.925194,7.597403
58.052223,7.597403
58.179252,7.597403
58.306281,7.597403
58.43331,7.597403
58.560339,7.597403
58.687368,7.597403
58.814397,7.597403
58.941426,7.597403
59.068454,7.597403
59.195483,7.597403
59.322512,7.727273
59.449541,7.727273
59.57657,7.727273
59.703599,7.727273
59.830628,7.727273
59.957657,7.727273
60.084686,7.727273
60.211715,7.727273
60.338744,7.662338
60.465773,7.597403
60.592802,7.597403
60.719831,7.597403
60.84686,7.597403
60.973888,7.597403
61.100917,7.597403
61.227946,7.597403
61.354975,7.597403
61.482004,7.597403
61.609033,7.597403
61.736062,7.597403
61.863091,7.597403
61.99012,7.597403
62.117149,7.597403
62.244178,7.597403
62.371207,7.597403
62.498236,7.597403
62.625265,7.597403
62.752294,7.597403
62.879323,7.597403
63.006351,7.597403
63.13338,7.597403
63.260409,7.597403
63.387438,7.597403
63.514467,7.597403
63.641496,7.597403
63.768525,7.597403
63.895554,7.597403
64.022583,7.597403
64.149612,7.597403
64.276641,7.597403
64.40367,7.597403
64.530699,7.597403
64.657728,7.597403
64.784757,7.597403
64.911785,7.597403
65.038814,7.597403
65.165843,7.597403
65.292872,7.597403
65.419901,7.597403
65.54693,7.597403
65.673959,7.597403
65.800988,7.597403
65.928017,7.597403
66.055046,7.597403
66.182075,7.597403
66.309104,7.597403
66.436133,7.597403
66.563162,7.597403
66.690191,7.597403
66.817219,7.597403
66.944248,7.597403
67.071277,7.597403
67.198306,7.597403
67.325335,7.597403
67.452364,7.597403
67.579393,7.597403
67.706422,7.597403
67.833451,7.597403
67.96048,7.597403
68.087509,7.597403
68.214538,7.597403
68.341567,7.597403
68.468596,7.597403
71.263232,-1
71.390261,-1
71.51729,-1
71.644319,-1
71.771348,-1
71.898377,-1
72.025406,-1
72.152435,-1
72.279464,-1
72.533522,8.376623
72.66055,8.376623
72.787579,8.376623
72.914608,8.376623
73.041637,8.376623
73.168666,8.376623
73.295695,8.376623
73.422724,8.376623
73.549753,8.376623
73.676782,8.376623
73.803811,8.376623
73.93084,8.376623
74.057869,8.376623
74.184898,8.376623
74.311927,8.376623
74.438956,8.376623
74.565984,8.376623
74.693013,8.376623
74.820042,8.376623
74.947071,8.376623
75.0741,8.376623
75.201129,8.376623
75.328158,8.376623
75.455187,8.376623
75.582216,8.376623
75.709245,8.376623
75.836274,8.376623
75.963303,8.376623
76.090332,8.376623
76.217361,8.376623
76.34439,8.376623
76.471418,8.376623
76.598447,8.376623
76.725476,8.376623
76.852505,8.376623
76.979534,8.376623
77.106563,8.376623
77.233592,8.376623
77.360621,8.376623
77.48765,8.376623
77.614679,8.376623
77.741708,8.376623
77.868737,8.376623
77.995766,8.376623
78.122795,8.376623
78.249824,8.376623
78.376853,8.376623
78.503881,8.376623
78.63091,8.376623
78.757939,8.376623
78.884968,8.376623
79.011997,8.376623
79.139026,8.376623
79.266055,8.376623
79.393084,8.376623
79.520113,8.376623
79.647142,8.376623
79.774171,8.376623
79.9012,8.376623
80.028229,8.376623
80.155258,8.376623
80.282287,8.376623
80.409315,8.376623
80.536344,8.376623
80.663373,8.376623
80.790402,8.376623
80.917431,8.376623
81.04446,8.376623
81.171489,8.376623
81.298518,8.376623
81.425547,8.376623
81.552576,8.376623
81.679605,8.376623
81.806634,8.376623
81.933663,8.376623
82.060692,8.376623
82.187721,8.376623
82.314749,8.376623
82.441778,8.376623
82.568807,8.376623
82.695836,8.376623
82.822865,8.376623
82.949894,8.376623
83.076923,8.376623
83.203952,8.376623
83.330981,8.376623
83.45801,8.376623
83.585039,8.376623
83.712068,8.376623
83.839097,8.376623
83.966126,8.376623
